numQubits,circDepth,numReps,avgDur(s),varDur(s^2)
25,1000,1,216.327889,0.000000
26,1000,1,449.113518,0.000000
27,1000,1,928.777282,0.000000
28,1000,1,1926.787914,0.000000
29,1000,1,3970.628820,0.000000
30,1000,1,8244.782421,0.000000
31,1000,1,17227.711129,0.000000
32,1000,1,35350.599561,0.000000
