numQubits,circDepth,numReps,avgDur(s),varDur(s^2)
1,1000,50,0.000034,0.000000
2,1000,50,0.005705,0.000001
3,1000,50,0.008248,0.000000
4,1000,50,0.012021,0.000000
5,1000,50,0.017033,0.000000
6,1000,50,0.020590,0.000000
7,1000,50,0.024135,0.000000
8,1000,50,0.028799,0.000000
9,1000,50,0.034420,0.000000
10,1000,50,0.041683,0.000000
11,1000,50,0.049353,0.000000
12,1000,50,0.061325,0.000000
13,1000,50,0.075855,0.000000
14,1000,50,0.105505,0.000000
15,1000,50,0.175964,0.000000
16,1000,50,0.309683,0.000000
17,1000,50,0.595741,0.000027
18,1000,50,1.194306,0.000003
19,1000,50,2.439958,0.000012
20,1000,50,5.146005,0.000144
21,1000,50,10.603129,0.000419
22,1000,50,32.457261,0.193947
23,1000,50,60.696096,0.006055
24,1000,50,118.118246,0.026325
25,1000,50,233.996897,0.077609
26,1000,50,473.062697,0.283416
27,1000,50,965.434642,1.072350
