numQubits,circDepth,numReps,avgDur(s),varDur(s^2)
1,1000,50,0.008707318305969238,1.4722800208369333e-05
2,1000,50,0.3588234853744507,0.10193396537476995
3,1000,50,0.5086724090576172,0.14014115364670948
4,1000,50,0.5061578464508056,0.05021302838751279
5,1000,50,0.6163154745101929,0.13866620804806917
6,1000,50,0.5788824510574341,0.05552832050378237
7,1000,50,0.6698948001861572,0.10920814330340406
8,1000,50,0.7487922573089599,0.07985000998107983
9,1000,50,0.7713148212432861,0.06451293078317444
10,1000,50,0.8503776502609253,0.06384415619298778
11,1000,50,0.8910226678848266,0.04761803866863468
12,1000,50,0.9971329307556153,0.13011799390050038
13,1000,50,1.0597617864608764,0.07927341723966341
14,1000,50,1.109046096801758,0.0984514930065441
15,1000,50,1.2980708980560303,0.26633289593635245
16,1000,50,1.4005876541137696,0.10567069558290276
17,1000,50,1.7281036949157715,0.11380714698285477
18,1000,50,2.1354221153259276,0.14505091795199743
19,1000,50,2.6936128759384155,0.10224456102461765
20,1000,50,4.010898566246032,0.09848047145172245
21,1000,50,6.860355310440063,0.11166560178133267
22,1000,50,80.75294734954834,0.3928365691099316
23,1000,50,191.867259349823,10.064819821076526
24,1000,50,405.4627714395523,6.438119178666966
25,1000,50,853.8985453367234,6.7520834798924625
